row_kind,backend,mode,mode_name,tracking_mode,pid_tid_cache,alloc_pattern,repeat_index,threads,size,duration,flush_threshold,sample_interval,filter_size,blocked,baseline_ops,with_probe_ops,overhead_pct,records_or_events,malloc_events,calloc_events,realloc_events,free_events,alloc_records,free_records,unmatched_free,ringbuf_drops,observed_events,logs
ebpf_uprobe,libbpf,libbpf_tracking,libbpf_tracking,none,n/a,mixed3,2,4,32,5,20,1,-1,0,9402736.20,439257.40,95.3284,5124686,1464200,732099,732095,2196338,2928394,2196292,38,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_tracking_mixed3_r2_t4_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_ring_output,libbpf_ring_output,none,n/a,mixed3,2,4,32,5,20,1,-1,0,9402736.20,366670.40,96.1004,4277838,1222243,611121,611117,1833402,2444481,1833357,37,0,4277838,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_ring_output_mixed3_r2_t4_s32_d5.loader.log;
baseline,none,baseline_no_hook,baseline_no_hook,none,n/a,malloc_only,3,1,32,5,20,1,-1,0,16187070.00,16187070.00,0.0000,0,0,0,0,0,0,0,0,0,0,;
ld_preload,ld_preload,ld_preload_stage6_default,stage6_notify,global,0,malloc_only,3,1,32,5,20,1,-1,0,16187070.00,268323.20,98.3424,2685920,1341621,0,0,1341617,1341621,1341617,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_default_global_cache0_malloc_only_r3_t1_s32_d5.consumer.log
ld_preload,ld_preload,ld_preload_stage6_optimized,stage6_notify,sharded,1,malloc_only,3,1,32,5,20,1,-1,0,16187070.00,672813.40,95.8435,6734861,3364071,0,0,3364067,3364071,3364067,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_optimized_sharded_cache1_malloc_only_r3_t1_s32_d5.consumer.log
ebpf_uprobe,libbpf,libbpf_count_only,libbpf_count_only,none,n/a,malloc_only,3,1,32,5,20,1,-1,0,16187070.00,179659.60,98.8901,1796609,898303,1,0,898305,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_count_only_malloc_only_r3_t1_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_sample_filter,libbpf_sample_filter,none,n/a,malloc_only,3,1,32,5,20,1,-1,0,16187070.00,165121.80,98.9799,825615,825614,1,0,825616,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_sample_filter_malloc_only_r3_t1_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_tracking,libbpf_tracking,none,n/a,malloc_only,3,1,32,5,20,1,-1,0,16187070.00,154414.60,99.0461,1544154,772078,1,0,772080,772079,772075,3,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_tracking_malloc_only_r3_t1_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_ring_output,libbpf_ring_output,none,n/a,malloc_only,3,1,32,5,20,1,-1,0,16187070.00,112846.20,99.3029,1128470,564236,1,0,564238,564237,564233,3,0,1128470,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_ring_output_malloc_only_r3_t1_s32_d5.loader.log;
baseline,none,baseline_no_hook,baseline_no_hook,none,n/a,malloc_only,3,4,32,5,20,1,-1,0,13052098.20,13052098.20,0.0000,0,0,0,0,0,0,0,0,0,0,;
